Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.00,0.429411765,True,False,True,True,True,True,0,0,0,1,170,170,0,Right,73,Tom Brown,170
0.12,0.401098901,False,False,False,True,True,True,4,0,0,1,180,180,0.13,Right,73,Denny Lemaster,182
0.26,0.405714286,False,False,False,True,True,False,27,20,20,1,175,175,0.263,Left,71,Joe Nolan,175
0.24,0.394285714,False,False,False,True,True,False,16,10,0,1,175,175,0.25,Left,69,Denny Doyle,175
0.26,0.466666667,False,False,False,True,True,True,138,130,120,1,150,150,0.275,Right,70,Jose Cardenal,150
0.19,0.360975610,False,False,False,True,True,True,28,20,20,1,205,205,0.193,Right,74,Mike Ryan,205
0.15,0.389189189,False,False,False,True,True,False,2,0,0,1,185,185,0.159,Both,72,Fritz Peterson,185
0.24,0.36,False,False,False,True,True,True,10,10,0,1,200,200,0.25,Right,72,Dick Bertell,200
0.24,0.405555556,False,False,False,True,True,True,6,0,0,1,180,180,0.241,Right,73,Rod Kanehl,180
0.00,0.379487179,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,74,Ozzie Osborn,195
0.00,0.394594595,True,False,True,True,True,False,0,0,0,1,185,185,0,Left,73,John LaRose,185
0.00,0.384615385,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,75,Jeff Byrd,195
0.24,0.405882353,False,False,False,True,True,True,7,0,0,1,170,170,0.256,Right,69,Juan Bonilla,170
0.24,0.383783784,False,False,False,True,True,False,6,0,0,1,185,185,0.241,Left,71,Frank Tepedino,185
0.00,0.417142857,True,False,True,True,True,False,0,0,0,1,175,175,0,Left,73,Jerry Kutzler,175
0.19,0.405555556,False,False,False,True,True,True,15,10,0,1,180,180,0.195,Right,73,Rick Wise,180
0.24,0.37,False,False,False,True,True,False,414,410,400,1,200,200,0.248,Left,74,Darrell Evans,200
0.22,0.368421053,False,False,False,True,True,True,58,50,40,1,190,190,0.225,Right,70,Buck Martinez,190
0.26,0.378947368,False,False,False,True,True,True,86,80,80,1,190,190,0.262,Right,72,John Wockenfuss,190
0.24,0.393442623,False,False,False,True,True,False,75,70,60,1,180,180,0.246,Left,72,Tommy McCraw,183
0.00,0.405405405,True,False,True,True,True,False,0,0,0,1,185,185,0,Both,75,Jeff Barkley,185
0.00,0.384210526,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,73,Eric Wilkins,190
0.00,0.358139535,True,False,True,True,True,False,0,0,0,1,215,215,0,Left,77,Britt Burns,215
0.28,0.417142857,False,False,False,True,True,True,91,90,80,1,175,175,0.286,Right,73,Lee Lacy,175
0.29,0.369791667,False,True,False,True,True,False,160,160,160,1,190,190,0.303,Both,71,Pete Rose,192
0.21,0.369230769,False,False,False,True,True,True,28,20,20,1,195,195,0.223,Right,72,Danny Walton,195
0.22,0.394444444,False,False,False,True,True,True,9,0,0,1,180,180,0.225,Right,71,Bobby Cox,180
0.22,0.423529412,False,False,False,True,True,True,6,0,0,1,170,170,0.231,Right,72,Brad Wellman,170
0.22,0.344186047,False,False,False,True,True,True,63,60,60,1,215,215,0.224,Right,74,Jeff Newman,215
0.24,0.409090909,False,False,False,True,True,True,8,0,0,1,175,175,0.244,Right,72,Pedro Gonzalez,176
0.00,0.383419689,True,False,True,True,True,False,0,0,0,1,190,190,0,Both,74,Nardi Contreras,193
0.22,0.389473684,False,False,False,True,True,True,12,10,0,1,190,190,0.226,Right,74,Tommie Reynolds,190
0.28,0.405882353,False,False,False,True,True,True,5,0,0,1,170,170,0.277,Right,69,Gene Clines,170
0.24,0.390625,False,False,False,True,True,True,159,150,140,1,190,190,0.252,Right,75,Jim Hickman,192
0.10,0.389743590,True,False,False,True,True,True,0,0,0,1,195,195,0.111,Right,76,Jack Billingham,195
0.21,0.383783784,False,False,False,True,True,True,22,20,20,1,185,185,0.22,Right,71,Jerry Buchek,185
0.24,0.405714286,False,False,False,True,True,True,21,20,20,1,175,175,0.254,Right,71,Ivan DeJesus,175
0.14,0.375634518,False,False,False,True,True,True,1,0,0,1,195,195,0.138,Right,74,Gary Nolan,197
0.00,0.394594595,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,73,Gil Patterson,185
0.24,0.384210526,False,False,False,True,True,False,108,100,100,1,190,190,0.253,Left,73,Fred Whitfield,190
